engagement_id,event_date,school_id,school_name,action,recruiter_hours,contacts,appointments,qualified,contracts,access_score,distance_miles
E1247,2025-09-01,S019,Monroe High,Cyber Careers Event,9,32,19,13,8,0.61,30
E1280,2025-09-01,S021,Hamilton High,Healthcare Careers Session,8,26,14,9,6,0.69,33
E1308,2025-09-01,S023,Jackson High,General Recruiting Table,5,24,9,4,2,0.77,38
E1478,2025-09-01,S035,Union High,Education Benefits Session,6,26,14,6,2,0.86,23
E1039,2025-09-02,S002,Jefferson High,Education Benefits Session,5,30,16,7,3,0.92,12
E1448,2025-09-02,S034,Pioneer High,Cyber Careers Event,6,43,10,6,1,0.68,39
E1309,2025-09-03,S023,Jackson High,General Recruiting Table,4,42,13,4,2,0.77,38
E1059,2025-09-04,S003,Washington High,Education Benefits Session,7,45,10,7,3,0.72,18
E1403,2025-09-04,S031,Greenfield High,STEM Careers Presentation,7,29,12,8,1,0.73,17
E1077,2025-09-05,S005,North County Tech,Cyber Careers Event,7,26,9,7,4,0.8,22
E1246,2025-09-05,S018,Liberty High,General Recruiting Table,4,31,12,8,3,0.82,44
E1225,2025-09-07,S016,Cedar Grove High,Healthcare Careers Session,7,35,14,6,2,0.94,6
E1234,2025-09-07,S017,Parkview High,Mechanical Careers Demo,8,48,16,11,4,0.92,19
E1324,2025-09-07,S025,Wilson High,Cyber Careers Event,6,40,18,12,5,0.71,13
E1420,2025-09-07,S032,Redstone High,Mechanical Careers Demo,10,47,19,10,7,0.85,36
E1466,2025-09-07,S035,Union High,Cyber Careers Event,9,42,11,5,3,0.86,23
E1013,2025-09-08,S001,Lincoln High,Healthcare Careers Session,8,40,23,5,1,0.9,8
E1201,2025-09-09,S015,Summit High,Cyber Careers Event,9,20,5,2,0,0.86,16
E1076,2025-09-10,S005,North County Tech,Cyber Careers Event,9,36,16,8,5,0.8,22
E1252,2025-09-10,S019,Monroe High,STEM Careers Presentation,6,28,13,4,2,0.61,30
E1262,2025-09-12,S019,Monroe High,General Recruiting Table,4,44,12,3,0,0.61,30
E1095,2025-09-14,S006,Lakeside Academy,Mechanical Careers Demo,9,29,11,8,3,0.94,32
E1278,2025-09-14,S021,Hamilton High,Mechanical Careers Demo,8,40,12,7,1,0.69,33
E1445,2025-09-14,S033,Horizon High,General Recruiting Table,6,29,14,7,0,0.94,10
