engagement_id,event_date,school_name,action,recruiter_hours,contacts,appointments,qualified,contracts,access_score,distance_miles
E1236,2026-03-03,Parkview HS,Healthcare Career Session,8,34,9,5,3,0.92,19
E1199,2026-01-21,Oak Valley High,General Recruiting Table,4,45,9,4,1,0.72,9
E1148,2025-12-23,Central High,Healthcare Careers Session,7,40,20,13,6,0.8,12
E1227,2025-12-11,CEDAR GROVE HIGH,Education Benefits Session,5,31,11,7,4,0.94,6
E1196,2025/11/12,Oak Valley HS,Benefits Session,5,36,9,6,0,0.72,9
E1322,2026-06-05,Grant High,Education Benefit Session,7,50,14,17,3,0.74,46
E1203,2026-02-10,Summit High,CYBER CAREERS EVENT,6,31,4,2,0,0.86,16
E1302,"Apr 12, 2026",Jackson High,Mechanical Career Demo,9,46,10,6,3,0.77,38
E1339,"Jul 21, 2026",Wilson High School,Recruiting Table,6,29,7,3,1,0.71,13
E1423,07/10/2026,Redstone High,Healthcare Career Session,8,48,12,3,0,0.85,36
E1123,2026-05-18,MADISON HIGH,Recruiting Table,4,22,7,4,1,0.77,35
E1142,"Jun 3, 2026",Central High,Mech Careers Demo,7,46,11,8,1,0.8,12
E1421,02/26/2026,REDSTONE HIGH,Mechanical Careers Demo,8,38,16,11,6,0.85,36
E1026,2025/12/20,Jefferson High,CYBER CAREERS EVENT,9,38,18,13,7,0.92,12
E1409,01/20/2026,Greenfield High,Mechanical Career Demo,9,35,11,5,0,0.73,17
E1315,01/24/2026,Grant High,Mech Careers Demo,8,41,8,4,1,0.74,46
E1308,2025-09-01,JACKSON HIGH,General Recruitment Table,5,24,9,4,2,0.77,38
E1481,2026-07-06,Victory High School,Education Benefit Session,7,48,13,8,2,0.74,14
E1312,2026-04-28,Grant High,Cyber Careers Event,6,18,6,2,0,0.74,46
E1316,2026-03-22,Grant HS,Mech Careers Demo,10,36,11,3,1,0.74,46
E1371,12/23/2025,Mountain View High,Mech Careers Demo,8,28,16,8,1,0.78,34
E1068,2026-02-12,Roosevelt High,Mech Careers Demo,8,28,12,5,1,0.95,6
E1127,2026-04-05,Franklin High,STEM Career Presentation,8,30,11,8,2,0.71,47
E1235,2025/12/28,Parkview High,Mechanical Careers Demo,9,43,12,10,4,0.92,19
E1099,2026-01-21,  Lakeside Academy ,Healthcare Careers Session,5,30,14,7,3,0.94,32
E1114,2026-03-01,Madison High,Healthcare Careers Session,6,26,10,5,0,0.77,35
E1363,2026-02-03,  Valley Tech ,General Recruiting Table,6,22,9,4,1,0.76,11
E1280,09/01/2025,Hamilton High,Healthcare Career Session,8,26,14,9,6,0.69,33
E1480,2026/05/30,Union High School,Benefits Session,5,44,8,6,2,0.86,23
E1133,2026-04-06,Franklin High,Mechanical Careers Demo,10,-5,12,8,2,0.71,47
E1267,2025/09/22,Adams High,STEM Careers Presentation,8,33,18,9,3,0.61,20
E1069,2025-12-02,Roosevelt High School,Healthcare Careers Session,8,44,12,8,6,0.95,6
E1278,2025/09/14,Hamilton HS,Mechanical Careers Demo,8,40,12,7,1,0.69,33
E1418,2025-12-04,REDSTONE HIGH,STEM Presentation,8,47,15,9,6,0.85,36
E1412,2026/06/28,Redstone High,Cyber Careers Event,7,36,16,8,1,0.85,36
E1188,2026-03-02,OAK VALLEY HIGH,Cyber Careers Event,9,42,12,4,1,0.72,9
E1381,2026-05-11,Mountain View High School,Education Benefits Session,4,39,16,9,4,0.78,34
E1348,2026-04-12,,Healthcare Careers Session,6,39,15,6,1,0.96,39
E1266,2025-09-21,Adams High,STEM Presentation,8,34,10,8,3,0.61,20
E1015,2026-04-22,Lincoln High,Health Careers Session,7,43,17,4,0,0.9,8
E1260,01/10/2026,Monroe High,Education Benefits Session,5,36,8,3,1,0.61,30
E1189,"May 15, 2026",Oak Valley High,Mech Careers Demo,8,31,10,7,5,0.72,9
E1102,2025/12/30,Lakeside Academy,General Recruiting Table,4,30,11,8,1,0.94,32
E1169,2026-07-31,Westfield High,Cyber Career Event,6,47,14,7,1,0.63,26
E1212,2026/04/16,SUMMIT HIGH,Healthcare Career Session,6,37,16,11,5,0.86,16
E1164,2026/07/11,EASTVIEW HIGH,Education Benefit Session,7,41,13,8,3,0.61,41
E1282,2026/05/17,Hamilton HS,Healthcare Career Session,5,50,16,11,4,0.69,33
